Code,Occupation,STEM Disciplines
13-2011.01,Accountants,Computer Science
15-2011.00,Actuaries,Mathematics
17-3021.00,Aerospace Engineering and Operations Technicians,Engineering
17-2011.00,Aerospace Engineers,Engineering
17-2021.00,Agricultural Engineers,"Engineering, Life Sciences"
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Life Sciences
19-4011.01,Agricultural Technicians,Life Sciences
49-3011.00,Aircraft Mechanics and Service Technicians,Engineering
45-2021.00,Animal Breeders,Life Sciences
19-1011.00,Animal Scientists,Life Sciences
17-1011.00,"Architects, Except Landscape and Naval",Engineering
11-9041.00,Architectural and Engineering Managers,"Chemistry, Computer Science, Engineering, Geosciences, Life Sciences, Physics/Astronomy"
17-3011.01,Architectural Drafters,Engineering
25-1031.00,"Architecture Teachers, Postsecondary",Engineering
19-2011.00,Astronomers,Physics/Astronomy
19-2021.00,Atmospheric and Space Scientists,Physics/Astronomy
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Geosciences, Mathematics, Physics/Astronomy"
13-2011.02,Auditors,Computer Science
17-3027.01,Automotive Engineering Technicians,Engineering
49-3023.01,Automotive Master Mechanics,Engineering
49-3023.02,Automotive Specialty Technicians,Engineering
49-2091.00,Avionics Technicians,Engineering
17-2199.01,Biochemical Engineers,Chemistry
19-1021.00,Biochemists and Biophysicists,"Chemistry, Life Sciences, Physics/Astronomy"
11-3051.03,Biofuels Production Managers,Life Sciences
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Environmental Science, Life Sciences"
43-9111.01,Bioinformatics Technicians,Life Sciences
25-1042.00,"Biological Science Teachers, Postsecondary",Life Sciences
19-4021.00,Biological Technicians,Life Sciences
19-1020.01,Biologists,Life Sciences
11-3051.04,Biomass Power Plant Managers,Life Sciences
17-2031.00,Biomedical Engineers,Engineering
15-2041.01,Biostatisticians,Life Sciences
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Environmental Science
15-1199.08,Business Intelligence Analysts,Computer Science
25-1011.00,"Business Teachers, Postsecondary","Computer Science, Mathematics"
17-2041.00,Chemical Engineers,"Chemistry, Engineering"
51-9011.00,Chemical Equipment Operators and Tenders,Chemistry
51-8091.00,Chemical Plant and System Operators,Chemistry
19-4031.00,Chemical Technicians,"Chemistry, Life Sciences"
25-1052.00,"Chemistry Teachers, Postsecondary","Chemistry, Geosciences"
19-2031.00,Chemists,"Chemistry, Physics/Astronomy"
17-3011.02,Civil Drafters,Engineering
17-3022.00,Civil Engineering Technicians,Engineering
17-2051.00,Civil Engineers,Engineering
19-2041.01,Climate Change Analysts,Environmental Science
19-3031.02,Clinical Psychologists,Life Sciences
15-1111.00,Computer and Information Research Scientists,Computer Science
11-3021.00,Computer and Information Systems Managers,Computer Science
17-2061.00,Computer Hardware Engineers,"Computer Science, Engineering"
15-1143.00,Computer Network Architects,Computer Science
15-1152.00,Computer Network Support Specialists,Computer Science
51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Computer Science
15-1131.00,Computer Programmers,Computer Science
25-1021.00,"Computer Science Teachers, Postsecondary",Computer Science
15-1121.00,Computer Systems Analysts,Computer Science
15-1151.00,Computer User Support Specialists,Computer Science
11-9021.00,Construction Managers,Engineering
35-2012.00,"Cooks, Institution and Cafeteria",Life Sciences
13-1051.00,Cost Estimators,Engineering
19-3031.03,Counseling Psychologists,Life Sciences
15-1141.00,Database Administrators,Computer Science
29-2051.00,Dietetic Technicians,Life Sciences
29-1031.00,Dietitians and Nutritionists,Life Sciences
17-3023.03,Electrical Engineering Technicians,"Computer Science, Engineering"
17-3029.02,Electrical Engineering Technologists,Engineering
17-2071.00,Electrical Engineers,Engineering
17-3029.03,Electromechanical Engineering Technologists,Engineering
51-2023.00,Electromechanical Equipment Assemblers,Engineering
17-3023.01,Electronics Engineering Technicians,"Computer Science, Engineering"
17-3029.04,Electronics Engineering Technologists,Engineering
17-2072.00,"Electronics Engineers, Except Computer",Engineering
25-1032.00,"Engineering Teachers, Postsecondary","Chemistry, Computer Science, Engineering, Geosciences, Life Sciences, Physics/Astronomy"
13-1041.01,Environmental Compliance Inspectors,Life Sciences
17-3025.00,Environmental Engineering Technicians,"Engineering, Environmental Science"
17-2081.00,Environmental Engineers,"Engineering, Environmental Science"
19-2041.02,Environmental Restoration Planners,Life Sciences
19-4091.00,"Environmental Science and Protection Technicians, Including Health",Environmental Science
25-1053.00,"Environmental Science Teachers, Postsecondary",Environmental Science
19-2041.00,"Environmental Scientists and Specialists, Including Health",Environmental Science
19-1041.00,Epidemiologists,Life Sciences
45-4021.00,Fallers,Life Sciences
25-9021.00,Farm and Home Management Advisors,Life Sciences
11-9013.02,Farm and Ranch Managers,Life Sciences
13-2099.01,Financial Quantitative Analysts,Computer Science
17-2111.02,Fire-Prevention and Protection Engineers,Engineering
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,Life Sciences
45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,Life Sciences
45-1011.06,First-Line Supervisors of Aquacultural Workers,Life Sciences
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Life Sciences
33-3031.00,Fish and Game Wardens,Life Sciences
45-3011.00,Fishers and Related Fishing Workers,Life Sciences
51-3092.00,Food Batchmakers,Life Sciences
19-4011.02,Food Science Technicians,Life Sciences
19-1012.00,Food Scientists and Technologists,Life Sciences
19-4093.00,Forest and Conservation Technicians,Life Sciences
45-4011.00,Forest and Conservation Workers,"Engineering, Life Sciences"
19-1032.00,Foresters,"Engineering, Life Sciences"
19-1029.03,Geneticists,Life Sciences
17-1022.01,Geodetic Surveyors,Engineering
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Geosciences
27-1024.00,Graphic Designers,Computer Science
25-1071.00,"Health Specialties Teachers, Postsecondary","Life Sciences, Physics/Astronomy"
25-1192.00,"Home Economics Teachers, Postsecondary",Life Sciences
17-2112.01,Human Factors Engineers and Ergonomists,Engineering
19-2043.00,Hydrologists,Geosciences
17-3026.00,Industrial Engineering Technicians,Engineering
17-2112.00,Industrial Engineers,Engineering
17-2111.01,Industrial Safety and Health Engineers,Engineering
19-3032.00,Industrial-Organizational Psychologists,Life Sciences
15-1122.00,Information Security Analysts,Computer Science
45-4023.00,Log Graders and Scalers,Life Sciences
45-4022.00,Logging Equipment Operators,Life Sciences
17-2199.04,Manufacturing Engineers,Engineering
17-2121.02,Marine Architects,Engineering
17-2121.01,Marine Engineers,Engineering
17-2131.00,Materials Engineers,Engineering
19-2032.00,Materials Scientists,Engineering
25-1022.00,"Mathematical Science Teachers, Postsecondary",Mathematics
15-2091.00,Mathematical Technicians,Mathematics
15-2021.00,Mathematicians,Mathematics
17-3027.00,Mechanical Engineering Technicians,Engineering
17-3029.07,Mechanical Engineering Technologists,Engineering
17-2141.00,Mechanical Engineers,Engineering
17-2199.05,Mechatronics Engineers,"Computer Science, Engineering"
19-1042.00,"Medical Scientists, Except Epidemiologists",Life Sciences
19-1022.00,Microbiologists,Life Sciences
17-2199.06,Microsystems Engineers,Engineering
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Engineering
19-1029.02,Molecular and Cellular Biologists,Life Sciences
17-2199.09,Nanosystems Engineers,Physics/Astronomy
11-9121.00,Natural Sciences Managers,"Chemistry, Computer Science, Engineering, Geosciences, Life Sciences, Mathematics, Physics/Astronomy"
19-3039.01,Neuropsychologists and Clinical Neuropsychologists,Life Sciences
17-2161.00,Nuclear Engineers,Engineering
19-4051.01,Nuclear Equipment Operation Technicians,"Engineering, Physics/Astronomy"
29-2033.00,Nuclear Medicine Technologists,Physics/Astronomy
19-4051.02,Nuclear Monitoring Technicians,"Engineering, Physics/Astronomy"
11-9013.01,Nursery and Greenhouse Managers,Life Sciences
15-2031.00,Operations Research Analysts,"Computer Science, Mathematics"
19-1031.03,Park Naturalists,Life Sciences
17-2171.00,Petroleum Engineers,Engineering
17-2199.07,Photonics Engineers,Physics/Astronomy
19-2012.00,Physicists,"Mathematics, Physics/Astronomy"
25-1054.00,"Physics Teachers, Postsecondary","Mathematics, Physics/Astronomy"
19-4099.02,Precision Agriculture Technicians,Life Sciences
17-2111.03,Product Safety Engineers,Engineering
19-3039.00,"Psychologists, All Other",Life Sciences
25-1066.00,"Psychology Teachers, Postsecondary",Life Sciences
19-1031.02,Range Managers,Life Sciences
13-2099.02,Risk Management Specialists,Mathematics
19-3031.01,School Psychologists,Life Sciences
13-1199.02,Security Management Specialists,Computer Science
15-1132.00,"Software Developers, Applications","Computer Science, Engineering"
15-1133.00,"Software Developers, Systems Software","Computer Science, Engineering"
19-1013.00,Soil and Plant Scientists,"Chemistry, Life Sciences, Physics/Astronomy"
19-1031.01,Soil and Water Conservationists,Life Sciences
15-2041.00,Statisticians,"Life Sciences, Mathematics"
15-1143.01,Telecommunications Engineering Specialists,Computer Science
17-2051.01,Transportation Engineers,Engineering
19-3099.01,Transportation Planners,Engineering
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Engineering
17-2199.02,Validation Engineers,Engineering
15-1199.11,Video Game Designers,Computer Science
11-9121.02,Water Resource Specialists,Engineering
17-2081.01,Water/Wastewater Engineers,Engineering
49-9081.00,Wind Turbine Service Technicians,Engineering
19-1023.00,Zoologists and Wildlife Biologists,Life Sciences
